Part Name," Part Number"," Qty"," Unit"," Qty of Product"," Unit Cost"," Total Cost(w/o shipping)"," Total/Final Cost(with shipping)"," url"
M3 x 5mm Socket Flat Head Screws,M3-0.5X5-FH-A2,4," pcs",1,$3.75,$4.69,$4.69," https://www.ebay.com/itm/297651673962?var=595006893034"
Loctite Essentials Super Glue Liquid Tubes (0.11 oz tubes)," LOC-ESSENTIAL-3G-4PK-SG-LQ-H-TBE-12PG",1," tube",1,$0.72,$2.88,$9.87," https://www.walmart.com/ip/seort/15670220393"
N42 Neodymium Disc Magnet," 42DNE0608-NI",64," pcs",64,$19.20,$19.20,$19.20," https://www.magnetshop.com/neodymium-disc-magnet-42dne0608-ni.html"
Kailh 1350 Choc V1 Brown Switch(10 pcs)," CPG135001D02",2," pcs",10,$1.48,$7.40,$7.40," https://www.aliexpress.us/item/3256811626047380.html?spm=a2g0o.productlist.main.2.2585d2Nud2NuTx&algo_pvid=b1f3efee-79b5-4e05-b69a-41533a665f3b&algo_exp_id=b1f3efee-79b5-4e05-b69a-41533a665f3b-1&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.15%214.35%21%21%2118.15%214.35%21%40210328df17806902096427509ebe6b%2112000056648742496%21sea%21US%213107961229%21ABX%211%210%21n_tag%3A-29910%3Bd%3A522aa025%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=gMyMy9GAItqi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011812362132%7C_p_origin_prod%3A"
20 PCS MKA-10110 10X18MM Magnetic Sensor N/O SPST Contact Reed Switches,CPG135001S30,64,pcs,4,$22.05,$27.56,$33.30,https://www.aliexpress.us/item/3256811899463529.html?spm=a2g0o.productlist.main.5.3658GgZ2GgZ2Rf&algo_pvid=3a2b7c39-559e-40bb-b72e-050872d7e17d&algo_exp_id=3a2b7c39-559e-40bb-b72e-050872d7e17d-4&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.89%215.86%21%21%216.89%215.86%21%402101d9ef17806907275273087e80e9%2112000057469219418%21sea%21US%213107961229%21ABX%211%210%21n_tag%3A-29910%3Bd%3A522aa025%3Bm03_new_user%3A-29895&curPageLogUid=F80mUPvjcfot&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012085778281%7C_p_origin_prod%3A
"PLA 3D Printer Filament (1.75mm, 1kg Spool, Black)",B07XG3RM58,1,spool,1,$13.99,$13.99,$13.99,https://www.amazon.com/Printer-Filament-SUNLU-Dimensional-Accuracy/dp/B07XG3RM58/ref=sr_1_3?dib=eyJ2IjoiMSJ9.VZS_v3e6Lg8PMk1vVXheTqV9R_lGu1l4QRnrZG4i6xWzWqZfEi3MYCZeIsnnEN7sEd0u3JLkYzz7VLqfDmwqjPlcQoPtOc9TfBG0_bEI_6U4iJsmzYqta_8nkLsNKyY22fM4zebYHcZA2ZXYkRVXo-gU2gy7Bfctz9K6qoOCzuu5VLe3wwXXyZ_jIByi16IX7GCFdOOqmSRwHugNJ0SQZXllNJ872ZZ8o5jmyl9xZO0.ugNd2LwqzZH4TjA0pwUmgUpyMHYySz-p_3lHGmAFi4U&dib_tag=se&keywords=3d%2Bprinter%2Bfilament&qid=1780864370&refinements=p_36%3A-1900&rnid=2661611011&sr=8-3&th=1
"0.96 Inch OLED Display Module (I2C/IIC/SPI Serial 128X64, SSD1315 Driver)",1005009059402520,1,pcs,1,$1.49,$1.49,$6.72,https://www.aliexpress.us/item/3256808873087768.html?spm=a2g0o.productlist.main.1.16917TXG7TXGcR&algo_pvid=e7031f80-694f-4e39-bf14-17ff209d399f&algo_exp_id=e7031f80-694f-4e39-bf14-17ff209d399f-0&pdp_ext_f=%7B%22order%22%3A%221246%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.49%210.99%21%21%2110.02%216.65%21%40210319b017808657177804836eae92%2112000047762448536%21sea%21US%213107961229%21ABX%211%210%21n_tag%3A-29910%3Bd%3A522aa025%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=4nQOOlsmmnd3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009059402520%7C_p_origin_prod%3A
RASPBERRY PI PICO W RP2040,SC0918,1,pcs,1,$6.00,$6.00,$15.09,https://www.digikey.com/en/products/detail/raspberry-pi/SC0918/16608263?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLljsWjzjlqCOAZTfclDIAHgz4&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfce6rFr-VwDE62IjY7dzyzYrg_4eUx6KZ3DTTBa-lTi34BBF99YXZwaAoAzEALw_wcB
CONN HEADER VERT 20POS 2.54MM,10129378-920003BLF,2,pcs,2,$1.02,$1.02,$9.87,https://www.digikey.com/en/products/detail/amphenol-icc-fci-/10129378-920003BLF/7915971?gclsrc=aw.ds&gad_source=1&gad_campaignid=20504594076&gbraid=0AAAAADrbLliXInOV8NrJO10kY0LGUB3D5&gclid=Cj0KCQjwrZTRBhDSARIsAHidYffxXOXR3WE3NZJ13rc2tw_-fAE6JUCFJhGI1I-L4p9Njb_V3PULCf0aAuSsEALw_wcB
Stainless Steel Hexagon Nuts (Fasteners Replacement),B0DRF8FF5Z,4,pcs,1,$0.02,$4.99,$4.99,https://www.amazon.com/Yinpecly-Stainless-Hexagon-Fasteners-Replacement/dp/B0DRF8FF5Z/ref=sr_1_15?dib=eyJ2IjoiMSJ9.QuWIeO1mRaxLaN4Qw02zp1BXegdBbbxPwSykKn9N2SwHd9x0J-aqJJnzwyjnYvrhKBC2rFF_OzE4tcHUjNQZL930XV6qrIO-eQh64s-NkSZO7iwcXAlpjmQYW4DZ-Iom2ToKxS26bvRMovu_jfLvE3vlpxpFdjnJYaLMXPddN4JHgNg4GB6zGBoJY0kpVNh05XNMIDAjPVCy84D3NZ6iCLRy1dpsmPph9ulTFe1rXN8.H6V2qAz_SPHGS753gbI30HEHz5lSihojgn6b0MTkObI&dib_tag=se&keywords=M3%2Bnuts&qid=1780868491&refinements=p_36%3A-800&rnid=386419011&sr=8-15&th=1
