Designator,Mid X,Mid Y,Rotation,Layer
A1,284.6875,-82.9725,0.0,top
D1,123.9825,-85.5625,0.0,top
D10,141.1975,-102.6225,0.0,top
D11,141.1975,-119.7675,0.0,top
D12,141.1975,-136.9125,0.0,top
D13,141.1975,-154.0575,0.0,top
D14,141.1275,-171.1775,0.0,top
D15,141.1975,-188.3475,0.0,top
D16,141.1975,-205.4925,0.0,top
D17,158.3425,-85.4775,0.0,top
D18,158.3425,-102.6225,0.0,top
D19,158.3425,-119.7675,0.0,top
D2,123.9825,-102.6925,0.0,top
D20,158.3425,-136.9125,0.0,top
D21,158.3425,-154.0575,0.0,top
D22,158.3425,-171.2025,0.0,top
D23,158.3425,-188.3475,0.0,top
D24,158.3425,-205.4925,0.0,top
D25,175.4875,-85.4775,0.0,top
D26,175.4875,-102.6225,0.0,top
D27,175.4875,-119.7675,0.0,top
D28,175.4875,-136.9125,0.0,top
D29,175.4875,-154.0575,0.0,top
D3,124.0125,-119.8025,0.0,top
D30,175.4875,-171.2025,0.0,top
D31,175.4875,-188.3475,0.0,top
D32,175.4875,-205.4925,0.0,top
D33,192.6325,-85.4775,0.0,top
D34,192.6325,-102.6225,0.0,top
D35,192.6325,-119.7675,0.0,top
D36,192.6325,-136.9125,0.0,top
D37,192.6325,-154.0575,0.0,top
D38,192.6325,-171.2025,0.0,top
D39,192.6325,-188.3475,0.0,top
D4,124.0125,-136.9325,0.0,top
D40,192.6325,-205.4925,0.0,top
D41,209.7775,-85.4775,0.0,top
D42,209.7775,-102.6225,0.0,top
D43,209.7775,-119.7675,0.0,top
D44,209.7775,-136.9125,0.0,top
D45,209.7775,-154.0575,0.0,top
D46,209.7775,-171.2025,0.0,top
D47,209.7775,-188.3475,0.0,top
D48,209.7775,-205.4925,0.0,top
D49,226.9225,-85.4775,0.0,top
D5,124.0025,-154.0725,0.0,top
D50,226.9225,-102.6225,0.0,top
D51,226.9225,-119.7675,0.0,top
D52,226.9225,-136.9125,0.0,top
D53,226.9225,-154.0575,0.0,top
D54,226.9225,-171.2025,0.0,top
D55,226.9225,-188.3475,0.0,top
D56,226.9225,-205.4925,0.0,top
D57,244.0675,-85.4775,0.0,top
D58,244.0675,-102.6225,0.0,top
D59,244.0675,-119.7675,0.0,top
D6,124.0525,-171.2025,0.0,top
D60,244.0675,-136.9125,0.0,top
D61,244.0675,-154.0575,0.0,top
D62,244.0675,-171.2025,0.0,top
D63,244.0675,-188.3475,0.0,top
D64,244.0675,-205.4925,0.0,top
D7,124.0525,-188.3475,0.0,top
D8,124.0525,-205.4925,0.0,top
D9,141.1975,-85.4775,0.0,top
J1,284.634725,-142.3355,180.0,top
S1,274.2465,-166.1225,0.0,top
S2,295.2125,-166.1225,0.0,top
SW1,127.7175,-90.024496,45.0,top
SW10,144.8625,-107.1375,45.0,top
SW11,144.943818,-124.363817,45.0,top
SW12,144.8625,-141.4275,45.0,top
SW13,144.8625,-158.5725,45.0,top
SW14,144.8625,-175.7175,45.0,top
SW15,144.8625,-192.8625,45.0,top
SW16,144.8625,-210.0075,45.0,top
SW17,162.0075,-89.9925,45.0,top
SW18,162.0075,-107.1375,45.0,top
SW19,162.0075,-124.2825,45.0,top
SW2,127.7175,-107.1375,45.0,top
SW20,162.0075,-141.4275,45.0,top
SW21,162.0075,-158.5725,45.0,top
SW22,162.0075,-175.7175,45.0,top
SW23,162.0075,-192.8625,45.0,top
SW24,162.0075,-210.0075,45.0,top
SW25,179.1525,-89.9925,45.0,top
SW26,179.1525,-107.1375,45.0,top
SW27,179.1525,-124.2825,45.0,top
SW28,179.1525,-141.4275,45.0,top
SW29,179.1525,-158.5725,45.0,top
SW3,127.7175,-124.2825,45.0,top
SW30,179.1525,-175.7175,45.0,top
SW31,179.1525,-192.8625,45.0,top
SW32,179.1525,-210.0075,45.0,top
SW33,196.2975,-89.9925,45.0,top
SW34,196.2975,-107.1375,45.0,top
SW35,196.2975,-124.2825,45.0,top
SW36,196.2975,-141.4275,45.0,top
SW37,196.2975,-158.5725,45.0,top
SW38,196.2975,-175.7175,45.0,top
SW39,196.2975,-192.8625,45.0,top
SW4,127.7175,-141.4275,45.0,top
SW40,196.2975,-210.0075,45.0,top
SW41,213.4425,-89.9925,45.0,top
SW42,213.4425,-107.1375,45.0,top
SW43,213.4425,-124.2825,45.0,top
SW44,213.4425,-141.4275,45.0,top
SW45,213.4425,-158.5725,45.0,top
SW46,213.4425,-175.7175,45.0,top
SW47,213.4425,-192.8625,45.0,top
SW48,213.4425,-210.0075,45.0,top
SW49,230.5875,-89.9925,45.0,top
SW5,127.7175,-158.5725,45.0,top
SW50,230.5875,-107.1375,45.0,top
SW51,230.5875,-124.2825,45.0,top
SW52,230.5875,-141.4275,45.0,top
SW53,230.5875,-158.5725,45.0,top
SW54,230.5875,-175.7175,45.0,top
SW55,230.5875,-192.8625,45.0,top
SW56,230.5875,-210.0075,45.0,top
SW57,247.7325,-89.9925,45.0,top
SW58,247.7325,-107.1375,45.0,top
SW59,247.7325,-124.2825,45.0,top
SW6,127.7175,-175.7175,45.0,top
SW60,247.7325,-141.4275,45.0,top
SW61,247.7325,-158.5725,45.0,top
SW62,247.7325,-175.7175,45.0,top
SW63,247.7325,-192.8625,45.0,top
SW64,247.7325,-210.0075,45.0,top
SW7,127.7175,-192.8625,45.0,top
SW8,127.7175,-210.0075,45.0,top
SW9,144.8625,-89.9925,45.0,top
